"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should upload image successfully and validate schema","uploadImageTests","2026-05-21","skipped","2026-05-21","The Dog API - POST Image Upload","uploadImage.spec.ts","",""
"","1","should validate breed details structure","breedDetailTests","2026-05-21","skipped","2026-05-21","The Dog API - GET Specific Breed","getRetrieve_specific_breed.spec.ts","",""
"","0","should get all breeds, pick reference_image_id and verify delete status code","deleteImageTests","2026-05-21","skipped","2026-05-21","The Dog API - DELETE Image From Specific Breed","deleteImageFromSpecificBreed.spec.ts","",""
"","1191","should display a previously uploaded image visibly in the browser","displayUploadedImageTests","2026-05-21","passed","2026-05-21","The Dog API - Display Uploaded Image In Browser","displayUploadedImage.spec.ts","",""
"","0","should upload image successfully then delete it and verify 204","uploadDelete204Tests","2026-05-21","skipped","2026-05-21","The Dog API - Upload Then Delete Image","uploadThenDeleteImage.spec.ts","",""
"","0","should retrieve a previously uploaded image successfully","getUploadedImageTests","2026-05-21","skipped","2026-05-21","The Dog API - GET Uploaded Image By ID","getUploadedImageById.spec.ts","",""
"","1","should retrieve a random list of images with their respective urls successfully","randomImagesTests","2026-05-21","skipped","2026-05-21","The Dog API - GET Random Images","getRandomImages.spec.ts","",""
"","1","should return 404 for non-existent breed","breedDetailTests","2026-05-21","skipped","2026-05-21","The Dog API - GET Specific Breed","getRetrieve_specific_breed.spec.ts","",""
"","2","should fetch list of dog breeds successfully","apiTests","2026-05-21","skipped","2026-05-21","The Dog API - GET All Breeds","getRetrieveAllBreeds_api.spec.ts","",""
"","2","should retrieve information about a specific breed successfully","breedDetailTests","2026-05-21","skipped","2026-05-21","The Dog API - GET Specific Breed","getRetrieve_specific_breed.spec.ts","",""
